timestamp,mid_price,book-imbalance-0.1-10-1,book-delta-v1-0.1-10-1
2024-05-01 00:00:00.961979,88109985.16884638,-36033.96009142697,1.0
2024-05-01 00:00:01.961980,88109985.16884638,-37362.26105469465,0.0
2024-05-01 00:00:02.961980,88109962.90522218,-36200.70702396333,-2.0
2024-05-01 00:00:03.961982,88109985.16884638,-37937.325439438224,2.0
2024-05-01 00:00:04.961982,88109985.16884638,-41278.07628245652,-2.0
2024-05-01 00:00:05.961983,88109985.16884638,-41278.07628245652,0.0
2024-05-01 00:00:06.961983,88108977.8833674,-48980.96724499762,-0.8660659830736148
2024-05-01 00:00:07.961984,88108984.90865071,-48847.229170396924,-2.0
2024-05-01 00:00:08.961984,88109986.99021612,-45766.43454656005,2.866065983073615
2024-05-01 00:00:09.961986,88050982.34770694,-2150.8473484516144,-2.866065983073615
2024-05-01 00:00:10.961987,88050982.34770694,-2753.949693620205,2.0
2024-05-01 00:00:11.961988,88050982.34770694,-2697.2917041629553,1.0
2024-05-01 00:00:12.961988,88050982.34770694,-1200.216007322073,2.0
2024-05-01 00:00:13.961989,88050982.34770694,-901.8314587324858,2.0
2024-05-01 00:00:14.961989,88050959.09315728,-5302.545696467161,-0.8660659830736148
2024-05-01 00:00:15.961990,88050988.57636271,-1486.3343535512686,2.0
2024-05-01 00:00:16.961990,88050959.9953758,-2520.157360970974,-2.866065983073615
2024-05-01 00:00:17.961991,88050997.70786273,8485.558568656445,2.0
2024-05-01 00:00:18.961993,88050997.70786273,8233.363846495748,2.0
2024-05-01 00:00:19.961993,88050997.71305789,7782.586163088679,0.0
2024-05-01 00:00:20.961994,88050997.71305789,5419.465949743986,0.0
2024-05-01 00:00:21.961994,88049997.9417521,6863.007398232818,0.0
2024-05-01 00:00:22.961994,88050998.0604026,9704.046320617199,0.8660659830736148
2024-05-01 00:00:23.961994,88094995.3665173,-23714.051285788417,0.8660659830736148
2024-05-01 00:00:24.961996,88094995.68978354,-20777.885919630527,0.0
2024-05-01 00:00:25.961997,88094995.68978354,-14859.92106193304,1.0
2024-05-01 00:00:26.961997,88094995.2587619,-14075.265723526478,0.0
2024-05-01 00:00:27.961997,88094995.3665173,-14141.498832300305,1.0
2024-05-01 00:00:28.961997,88094995.47427271,-10376.447283536196,2.0
2024-05-01 00:00:29.961997,88094993.41963843,-10378.613004863262,-2.0
2024-05-01 00:00:30.961998,88094993.41963843,-10378.613004863262,0.0
2024-05-01 00:00:31.962000,88094993.41963843,-10727.283414646983,-1.0
2024-05-01 00:00:32.962000,88108997.67841262,-22070.464104518294,0.8660659830736148
2024-05-01 00:00:33.962001,88094993.2568309,-12809.198438301682,-2.866065983073615
2024-05-01 00:00:34.962002,88094993.27537577,-15732.235257193446,0.0
2024-05-01 00:00:35.962003,88094993.27537577,-14386.431843474507,1.0
2024-05-01 00:00:36.962003,88107997.97513837,-20992.751567721367,2.866065983073615
2024-05-01 00:00:37.962004,88107997.98136914,-20992.010366395116,1.0
2024-05-01 00:00:38.962005,88107997.98136914,-20881.44492980838,1.0
2024-05-01 00:00:39.962005,88107997.98136914,-19046.023519545794,-2.0
2024-05-01 00:00:40.962005,88098999.37888281,-11917.445116207004,-1.0
2024-05-01 00:00:41.962006,88107997.98136914,-19140.71328470111,0.8660659830736148
2024-05-01 00:00:42.962007,88107997.98136914,-17705.893737912178,-1.0
2024-05-01 00:00:43.962007,88107997.98136914,-17705.893737912178,0.0
2024-05-01 00:00:44.962007,88107997.91728075,-16065.221163749695,-1.0
