timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 01:13,0.03130505,94411000,1477.77,-2957019,0,-2957018.84555,-2977873.2877300004
2024-03-08 01:13,0.01869495,94414000,882.53,-1765948,0,-1765947.5392999998,-4743820.82703
2024-03-08 01:13,0.04994936,94403000,2357.68,-4717728,0,-4717727.112079999,-9461547.93911
2024-03-08 01:14,0.03981118,94453000,1880.14,-3762166,0,-3762165.52454,-13223713.46365
2024-03-08 01:14,0.02,94568000,945.68,1890414,1,1890414.32,-11333299.143649999
2024-03-08 01:14,0.03,94568000,1418.52,2835621,1,2835621.48,-8497677.663649999
2024-03-08 01:14,0.00426,94453000,201.18,-402571,0,-402570.95999999996,-8900248.62365
2024-03-08 01:19,0.0042,94686000,198.84,397482,1,397482.3599999999,-8502766.26365
2024-03-08 01:19,0.02,94686000,946.86,1892773,1,1892773.14,-6609993.12365
2024-03-08 01:19,0.02,94688000,946.88,1892813,1,1892813.12,-4717180.00365
2024-03-08 01:19,0.03,94688000,1420.32,2839219,1,2839219.68,-1877960.3236500002
2024-03-08 01:19,0.01978851,94689000,936.87,1872817,1,1872817.3533899998,-5142.970260000322
2024-03-08 01:28,0.02022126,94677000,957.24,-1915446,0,-1915445.4730200002,-1920588.4432800005
2024-03-08 01:29,0.0023184,94787000,109.87,219644,1,219644.3108,-1700944.1324800004
2024-03-08 01:29,0.0179816,94787000,852.21,1703569,1,1703569.7092000002,2625.576719999779
2024-03-08 01:37,0.03349342,94640000,1584.9,-3171403,0,-3171402.1688,-3168776.5920800003
2024-03-08 01:37,0.0091623,94640000,433.56,-867554,0,-867553.6320000001,-4036330.2240800005
2024-03-08 01:37,0.01650658,94640000,781.09,-1562964,0,-1562963.8212000001,-5599294.04528
2024-03-08 02:07,0.00214865,94994000,102.05,204006,1,204006.80810000002,-5395287.23718
2024-03-08 02:07,0.04785135,94994000,2272.79,4543318,1,4543318.3519,-851968.88528
2024-03-08 02:13,0.05,95105000,2377.62,-4757628,0,-4757627.62,-5609596.50528
2024-03-08 02:16,0.02436307,95227000,1160.01,2318862,1,2318862.05689,-3290734.44839
2024-03-08 02:16,0.00390025,95193000,185.63,-371463,0,-371462.12825,-3662196.57664
2024-03-08 02:16,0.04609975,95193000,2194.18,-4390568,0,-4390567.6817499995,-8052764.25839
2024-03-08 02:25,0.0152,95339000,724.57,-1449878,0,-1449877.37,-9502641.62839
2024-03-08 02:27,0.00256608,95182000,122.12,244122,1,244122.50656,-9258519.12183
2024-03-08 02:27,0.04743392,95182000,2257.42,4512597,1,4512597.953439999,-4745921.16839
2024-03-08 02:59,0.05,94893000,2372.32,-4747023,0,-4747022.32,-9492943.48839
2024-03-08 03:00,0.00032079,95066000,15.24,30480,1,30480.982139999996,-9462462.50625
2024-03-08 03:00,0.000663,95066000,31.51,62997,1,62997.24799999999,-9399465.25825
2024-03-08 03:00,0.00811825,95066000,385.88,771383,1,771383.6745000001,-8628081.58375
2024-03-08 03:00,0.04089796,95066000,1944.0,3886061,1,3886061.46536,-4742020.11839
2024-03-08 03:55,0.0041,94925000,194.59,-389387,0,-389387.0900000001,-5131407.20839
2024-03-08 03:55,0.00601714,94925000,285.58,-571463,0,-571462.5944999999,-5702869.80289
2024-03-08 03:55,0.03596206,94927000,1706.88,-3415478,0,-3415477.3496199995,-9118347.152509999
2024-03-08 03:57,8.222e-05,94930000,3.9,-7809,0,-7809.044599999999,-9126156.19711
2024-03-08 04:02,0.00087331,94982000,41.47,-82991,0,-82990.20042,-9209146.397529999
2024-03-08 04:03,0.05,95189000,2379.72,4757070,1,4757070.28,-4452076.1175299985
2024-03-08 04:05,0.00399502,95164000,190.09,379991,1,379991.99328,-4072084.1242499985
2024-03-08 04:05,0.04300498,95164000,2046.26,4090479,1,4090479.65672,18395.532470001373
2024-03-08 04:08,0.02595302,95035000,1233.22,-2467679,0,-2467678.4757000003,-2449282.943229999
